IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY,WEIGHTED_AVERAGE_SCORE
A,Pasona Group,10.0,4.9,6.5,Professional Services,6.0
AAA,SingPost,9.3,5.5,4.4,Air Freight & Logistics,5.6
AA,Piramal Enterprises,9.7,3.9,6.2,Diversified Financials,5.6
BBB,Frontken,10.0,5.2,6.3,Commercial Services & Supplies,5.7
B,Shanghai Airport,5.7,2.0,4.5,Transportation Infrastructure,3.6
CCC,Zhejiang Juhua,2.5,1.9,0.4,Commodity Chemicals,2.1
CCC,SHANGHAI ELECTRIC POWER,2.5,2.6,2.1,Utilities,2.5
B,Sany Heavy Industry (Sany,3.7,2.4,5.1,Construction & Farm Machinery & Heavy Trucks,3.7
B,BTG Hotels,2.3,4.0,4.1,Hotels & Travel,3.6
B,SDIC Capital,3.3,3.9,2.3,Investment Banking & Brokerage,3.0
A,Yellow Hat,2.1,3.9,8.0,Retail - Consumer Discretionary,5.1
BB,Giken,3.1,3.9,5.6,Construction & Farm Machinery & Heavy Trucks,4.3
BB,Kotobuki Spirits,2.0,5.8,4.6,Food Products,3.9
BB,KATITAS,4.8,5.7,4.0,Real Estate Development & Diversified Activities,4.9
BB,SIUD,4.6,2.6,3.5,Real Estate Development & Diversified Activities,3.5
A,YAGEO,4.1,5.1,5.2,"Electronic Equipment, Instruments & Components",5.0
CCC,Taekwang,1.5,3.8,0.0,Commodity Chemicals,2.1
CCC,GeneOne Life Science,4.7,1.7,3.5,Biotechnology,3.0
A,Coway,6.8,4.9,4.6,Household Durables,5.0
B,Country Garden,6.2,2.9,2.0,Real Estate Development & Diversified Activities,3.5
B,Nongshim,2.0,2.8,4.9,Food Products,3.1
CCC,Handsome,3.0,2.9,0.0,"Textiles, Apparel & Luxury Goods",1.9
B,SB Technology,4.9,3.5,3.9,Software & Services,3.9
A,USS,2.6,4.4,7.5,Retail - Consumer Discretionary,5.2
B,EM Systems,7.0,5.0,4.2,Health Care Technology,4.7
AA,Alps Alpine,2.8,4.8,6.7,"Electronic Equipment, Instruments & Components",5.5
BBB,Kobayashi,3.2,4.5,5.3,Household & Personal Products,4.3
