IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY
B,Nongshim,2.0,2.8,4.9,Food Products
CCC,Handsome,3.0,2.9,0.0,"Textiles, Apparel & Luxury Goods"
B,SB Technology,4.9,3.5,3.9,Software & Services
A,USS,2.6,4.4,7.5,Retail - Consumer Discretionary
B,EM Systems,7.0,5.0,4.2,Health Care Technology
AA,Alps Alpine,2.8,4.8,6.7,"Electronic Equipment, Instruments & Components"
BBB,Kobayashi,3.2,4.5,5.3,Household & Personal Products
B,Yodoko,3.2,3.3,3.2,Steel
A,Mitsui Mining,3.5,5.3,6.3,Metals and Mining - Non-Precious Metals
A,UACJ,4.2,5.7,6.0,Metals and Mining - Non-Precious Metals
BBB,Far East Consortium,4.8,4.5,5.8,Real Estate Development & Diversified Activities
BBB,AACo,0.7,7.5,4.8,Food Products
A,POSCO Chemical,4.8,3.6,5.1,Construction Materials
BBB,Zhejiang Expressway,6.1,4.6,5.1,Transportation Infrastructure
A,Konami,8.3,5.5,5.5,Media & Entertainment
A,Mitsubishi Electric,6.7,5.4,5.1,Electrical Equipment
AAA,Fujitsu,8.4,7.0,5.9,Software & Services
A,NTT,10.0,4.7,6.7,Telecommunication Services
AAA,Sony,8.9,8.7,5.8,Household Durables
BB,Tsubakimoto,4.3,6.0,3.5,Industrial Machinery
AAA,Brambles,9.7,7.1,7.8,Commercial Services & Supplies
A,Ashok Leyland,4.3,4.8,5.5,Construction & Farm Machinery & Heavy Trucks
BB,Sankyo,6.1,3.6,4.8,Leisure Products
BB,Nisshin Seifun,3.1,5.0,6.3,Food Products
BBB,GYBYS ,10.0,3.6,8.2,Health Care Providers & Services
A,Bumrungrad,7.2,3.6,7.0,Health Care Providers & Services
BB,ValueCommerce,6.6,4.1,4.1,Media & Entertainment
BB,Vstec Holdings,2.9,5.3,2.4,"Electronic Equipment, Instruments & Components"
B,Netdragon,7.9,3.6,4.2,Media & Entertainment
BB,Isuzu,5.0,5.9,3.7,Automobiles
B,Mitsubishi Motors,6.6,3.7,1.9,Automobiles
BBB,The Nisshin OilliO Group,3.7,4.7,6.2,Food Products
AAA,Itochu,6.1,7.8,9.2,Trading Companies & Distributors
BB,Fujimori Kogyo,4.0,3.8,0.0,Commodity Chemicals
AA,Resona Holdings,5.6,5.2,5.7,Banks
A,Mitsui,4.5,6.1,7.0,Trading Companies & Distributors
A,Canon MJ,3.3,4.5,7.8,"Electronic Equipment, Instruments & Components"
A,Toshiba Tec,2.3,4.7,5.9,"Technology Hardware, Storage & Peripherals"
B,Sanken Electric,5.6,4.7,2.5,Semiconductors & Semiconductor Equipment
BB,Takashimaya,3.9,3.1,4.3,Retail - Consumer Discretionary
BB,"""JAFCO Group",7.0,6.3,3.3,Asset Management & Custody Banks
AAA,HOYA,8.2,7.7,6.1,Health Care Equipment & Supplies
AA,Nitto Group,7.2,5.4,5.7,Specialty Chemicals
BB,Road King Infrastructure,4.2,5.1,3.3,Real Estate Development & Diversified Activities
BB,Pacific Textiles,2.1,4.0,5.5,"Textiles, Apparel & Luxury Goods"
AA,Lynas,3.4,7.5,6.0,Metals and Mining - Non-Precious Metals
A,Magellan Financial,8.7,7.0,4.3,Asset Management & Custody Banks
BBB,Mount Gibson Iron,1.7,7.3,4.2,Steel
BBB,MDI,2.4,6.2,2.8,Pharmaceuticals
B,Mesoblast,5.2,6.4,3.0,Biotechnology
A,MONEY3,7.0,7.3,3.7,Consumer Finance
B,Seiren,3.4,2.8,3.5,"Textiles, Apparel & Luxury Goods"
A,Rengo,5.4,4.6,6.4,Containers & Packaging
BB,Kanto Denka,5.0,2.6,1.1,Specialty Chemicals
BBB,Sumitomo Bakelite,6.3,4.8,1.3,Specialty Chemicals
BB,Central Glass,4.6,4.0,6.4,Building Products
B,Osaka Soda,3.6,3.6,2.0,Specialty Chemicals
BBB,SmarTone,8.3,4.8,5.0,Telecommunication Services
BB,SPC,3.6,4.0,3.2,Commodity Chemicals
BBB,Shanghai Industrial Holdings (SIHL),5.0,4.1,5.3,Industrial Conglomerates
B,Riken Vitamin,3.6,4.1,4.9,Food Products
AA,ResortTrust,4.9,4.3,7.3,Hotels & Travel
BBB,Sanyo Special Steel,3.4,5.7,5.3,Steel
BB,Takasago,5.6,3.2,2.5,Specialty Chemicals
BBB,FANCL,3.0,5.9,3.6,Household & Personal Products
BB,JCU,4.8,5.1,0.4,Specialty Chemicals
BB,Rohto,2.4,5.1,3.6,Household & Personal Products
BB,Sosei Group,2.4,6.0,2.3,Pharmaceuticals
AA,Duskin,10.0,5.5,8.8,Commercial Services & Supplies
BBB,Aeon,9.3,4.0,4.5,Consumer Finance
AA,Perenti,3.8,6.7,4.3,Metals and Mining - Non-Precious Metals
AA,Spark NZ,10.0,7.5,5.5,Telecommunication Services
BBB,CLEANAWAY WASTE MANAGEMENT LIMITED (Cleanaway),2.5,7.9,4.6,Commercial Services & Supplies
BB,Fudan-Zhangjiang,3.1,3.8,2.5,Pharmaceuticals
A,CSPC,5.5,4.9,4.4,Pharmaceuticals
BB,Tadano,3.7,5.2,4.9,Construction & Farm Machinery & Heavy Trucks
BB,Pinnacle Investment,10.0,7.5,2.1,Asset Management & Custody Banks
AA,Daifuku,5.4,5.8,8.5,Industrial Machinery
A,Whitehaven Coal,1.8,8.7,4.7,Metals and Mining - Non-Precious Metals
B,Max,4.6,4.1,5.5,Industrial Machinery
A,Meidensha,6.0,4.1,7.8,Industrial Machinery
BBB,Vital,5.1,7.7,2.0,Real Estate Management & Services
BB,Nissin Electric,5.2,2.9,8.7,Electrical Equipment
BB,JM Financial,2.5,5.5,3.3,Investment Banking & Brokerage
A,China Resources Gas,8.7,4.6,8.3,Utilities
B,Wacom,2.1,5.1,2.7,"Technology Hardware, Storage & Peripherals"
AA,Panasonic,8.2,5.4,4.3,Household Durables
A,Nihon Kohden,10.0,4.9,5.3,Health Care Equipment & Supplies
CCC,Wangfujing Group,2.9,3.6,1.2,Retail - Consumer Discretionary
A,BoCom,4.8,4.3,5.4,Banks
CCC,Shenghe Resources,1.8,2.0,1.8,Metals and Mining - Non-Precious Metals
BBB,China Minsheng Bank,4.5,5.9,4.5,Banks
A,CP All Public,3.6,3.1,6.9,Retail - Food & Staples
B,JW Pharmaceutical,1.8,2.4,2.7,Pharmaceuticals
B,Daesang,1.5,4.2,4.9,Food Products
A,Ichikoh,4.1,2.3,7.7,Auto Components
A,Mazda,5.4,5.3,3.5,Automobiles
A,Kumagai Gumi Co.,4.7,4.8,7.0,Construction & Engineering
AA,LITE-ON,4.5,4.8,5.9,"Technology Hardware, Storage & Peripherals"
BB,PT MNC,6.7,2.3,6.0,Media & Entertainment
AA,Hua Nan Financial,3.5,6.4,5.4,Banks
AA,Mega Financial,5.7,5.2,6.0,Banks
BBB,TS Tech,2.9,4.2,5.3,Auto Components
BB,Sinochem,5.1,6.2,2.2,Diversified Chemicals
CCC,Fiberhome,3.8,2.5,3.1,"Technology Hardware, Storage & Peripherals"
A,Sinbon,5.4,5.3,5.3,"Electronic Equipment, Instruments & Components"
AA,Sinopac Financial Holdings,7.4,6.3,5.2,Banks
BB,Gamuda,3.7,5.7,2.5,Construction & Engineering
BB,The Gunma Bank,2.6,4.5,4.0,Banks
CCC,TKG Huchems,2.9,2.9,0.0,Specialty Chemicals
B,Hanall,2.4,1.6,3.0,Pharmaceuticals
BB,Western Mining,3.8,3.5,3.9,Metals and Mining - Non-Precious Metals
B,Shanxi Coal International,4.0,1.4,2.7,Metals and Mining - Non-Precious Metals
BB,Riken Keiki,2.4,3.9,4.9,"Electronic Equipment, Instruments & Components"
BB,VT HOLDINGS,1.8,5.1,6.2,Retail - Consumer Discretionary
BBB,Heiwado,1.7,4.1,6.1,Retail - Food & Staples
CCC,Shenergy,3.7,1.3,2.6,Utilities
CCC,Intops,2.0,1.8,2.6,"Technology Hardware, Storage & Peripherals"
BBB,Izumi,3.0,4.6,5.5,Retail - Consumer Discretionary
A,JAC Recruitment (JAC),7.7,4.5,7.2,Professional Services
AA,BIPROGY,6.4,6.4,5.4,Software & Services
BB,DJK Group,3.9,5.2,6.6,Trading Companies & Distributors
BB,AEON DELIGHT,5.5,3.5,5.7,Commercial Services & Supplies
B,ACC,2.6,3.7,2.3,Construction Materials
BB,Royal Holdings,2.3,4.8,5.1,Restaurants
B,Megaworld,4.5,1.7,5.1,Real Estate Development & Diversified Activities
AA,Nomura,8.3,4.3,5.3,Investment Banking & Brokerage
BB,Nippon Parking,3.7,4.5,6.1,Commercial Services & Supplies
A,PTT,6.3,4.6,8.1,Integrated Oil & Gas
B,Quality Houses,3.2,3.0,4.0,Real Estate Development & Diversified Activities
BB,Supalai,3.8,4.4,4.3,Real Estate Development & Diversified Activities
CCC,Sam Chun Dang Pharm,1.7,1.2,2.8,Pharmaceuticals
BB,Tingyi ,4.4,2.9,4.6,Beverages
BB,Shree Cement,2.9,4.7,2.4,Construction Materials
A,TCS,6.2,3.9,5.3,Software & Services
B,Zee,8.7,2.9,3.8,Media & Entertainment
BB,VIS,4.1,4.1,6.5,Semiconductors & Semiconductor Equipment
BBB,SBS Group,7.7,4.6,4.1,Air Freight & Logistics
A,Malaysia Building Society,3.8,6.1,4.6,Banks
B,WCG,3.5,3.4,1.5,Specialty Chemicals
B,Zenrin,3.7,3.9,2.4,Software & Services
BBB,Tohoku Electric,5.5,5.0,3.1,Utilities
BB,Systena,4.3,4.4,3.4,Software & Services
BB,Takaful Malaysia,3.5,5.8,5.0,Multi-Line Insurance & Brokerage
BB,Security Bank,0.3,3.6,4.6,Banks
BBB,Ping An Bank,7.7,4.4,3.7,Banks
B,Walsin Lihwa,5.3,2.6,8.1,Electrical Equipment
BBB,MCB Bank,0.8,6.6,3.3,Banks
AA,Livzon,7.4,5.7,4.7,Pharmaceuticals
BB,Guoyuan Securities,2.6,5.4,5.5,Investment Banking & Brokerage
BB,Douzon Bizon,4.8,2.7,4.9,Software & Services
BB,S1,7.7,2.4,6.6,Commercial Services & Supplies
A,PCCW,10.0,5.5,6.0,Telecommunication Services
AA,BCA,4.4,4.8,6.1,Banks
BBB,Bangkok Bank,1.2,3.6,4.3,Banks
A,Hang Lung Group,7.3,4.0,6.5,Real Estate Management & Services
BBB,Henderson Land,5.7,3.6,4.6,Real Estate Development & Diversified Activities
B,Relia,9.3,4.9,2.8,Software & Services
A,CyberAgent,7.7,3.9,6.7,Media & Entertainment
A,Chinese Estates Holdings Limited,3.9,5.9,6.5,Real Estate Development & Diversified Activities
A,Geely,4.4,4.1,6.3,Automobiles
AA,Mitsubishi Materials,5.3,5.4,6.6,Metals and Mining - Non-Precious Metals
BBB,Fujikura,5.6,5.2,5.7,Electrical Equipment
BBB,Johnson Electric,4.3,3.5,5.8,Auto Components
B,BEM,7.2,1.1,5.4,Transportation Infrastructure
A,Sanwa,6.6,6.1,4.7,Building Products
B,NHK Spring,4.2,3.4,4.0,Auto Components
AA,Asahi,6.5,6.3,6.2,Beverages
BB,SM,4.7,3.6,3.9,Industrial Conglomerates
BBB,Hakuhodo,10.0,6.1,3.6,Media & Entertainment
A,The Canara Bank,3.8,5.3,5.7,Banks
BBB,Bank of Baroda,0.0,4.4,4.5,Banks
B,Bank of India,0.0,3.8,4.3,Banks
A,Colgate-Palmolive (India),6.0,3.4,5.2,Household & Personal Products
BBB,Dongfeng Motor Group Company Limited (DFG),5.9,3.3,3.4,Automobiles
B,OCI International,8.7,5.8,1.8,Asset Management & Custody Banks
BB,Gemdale Properties,4.3,4.2,3.9,Real Estate Development & Diversified Activities
A,China Transmission,6.7,4.6,6.0,Electrical Equipment
BB,TTI,4.3,4.5,4.4,Industrial Machinery
BB,TravelSky Technology,9.0,3.8,3.6,Software & Services
BB,China TCM,3.3,3.9,3.8,Pharmaceuticals
BB,CCS,4.4,3.3,3.7,Construction & Engineering
BB,Lukfook,2.0,2.7,5.6,Retail - Consumer Discretionary
BB,Penta-Ocean Construction,4.8,3.8,4.5,Construction & Engineering
BB,Cummins India,3.9,4.7,5.4,Construction & Farm Machinery & Heavy Trucks
B,Xinyi Glass,4.2,3.5,5.0,Building Products
CCC,CNOOC,2.7,2.1,4.3,Oil & Gas Exploration & Production
BB,GAIL,6.8,0.9,6.6,Utilities
BBB,Bellevue Gold,0.4,8.2,5.6,Metals and Mining - Precious Metals
BBB,Grasim Industries,5.6,2.9,4.5,Construction Materials
BB,GMR Infrastructure,8.0,3.7,4.6,Transportation Infrastructure
BBB,Nissan Chemical,5.7,6.3,1.8,Diversified Chemicals
AA,Denka,5.1,5.5,4.3,Commodity Chemicals
A,Sumitomo Dainippon,5.5,5.8,4.6,Pharmaceuticals
CCC,Zhejiang Longsheng,2.9,3.7,1.5,Specialty Chemicals
BBB,We re-initiate coverage of Kingsoft at 'BBB'. Kingsoft,9.0,3.8,4.8,Media & Entertainment
A,BOC,4.4,4.5,5.3,Banks
A,Syrah Resources,3.3,7.1,4.2,Metals and Mining - Non-Precious Metals
AA,Sino-Ocean,7.8,5.9,6.7,Real Estate Development & Diversified Activities
AA,Hulic,5.4,5.9,8.3,Real Estate Management & Services
A,MTKHD,4.3,6.4,5.8,Health Care Providers & Services
A,Seino Holdings,6.4,5.1,3.8,Road & Rail Transport
AAA,Hankyu Hanshin,6.8,4.2,7.4,Road & Rail Transport
BB,Toho,4.7,3.4,5.0,Media & Entertainment
BB,PT Ciputra,4.2,4.8,4.3,Real Estate Development & Diversified Activities
AA,HDFC Bank,0.8,5.8,6.3,Banks
AA,MRL,3.1,8.4,5.6,Metals and Mining - Non-Precious Metals
BB,TOCALO,3.5,4.7,5.0,Industrial Machinery
AA,Pilbara Minerals,2.9,7.9,6.2,Metals and Mining - Non-Precious Metals
BBB,NORITZ,6.4,3.8,5.7,Building Products
A,Berjaya Sports,6.7,4.6,6.4,Casinos & Gaming
A,Skycity,5.7,7.2,4.2,Casinos & Gaming
BB,OKUMA,4.5,3.9,3.9,Industrial Machinery
BBB,SHIBAURA MACHINE,4.7,5.2,6.3,Industrial Machinery
A,Asustek,4.7,3.6,6.1,"Technology Hardware, Storage & Peripherals"
BBB,PCT,5.7,6.7,5.2,Real Estate Management & Services
BB,China Shenhua,3.0,4.4,3.8,Metals and Mining - Non-Precious Metals
CCC,PT Gudang Garam,1.3,2.3,0.4,Tobacco
BB,Tokai Tokyo,2.3,6.6,2.2,Investment Banking & Brokerage
AA,Webjet,8.0,8.0,4.5,Hotels & Travel
A,Western Areas,2.4,7.3,5.4,Metals and Mining - Non-Precious Metals
A,GMT,5.8,6.4,5.1,Real Estate Management & Services
B,Goldcrest,2.5,4.0,4.0,Real Estate Development & Diversified Activities
B,Tokai Rika,4.6,1.9,3.2,Auto Components
AA,Cathay FHC,10.0,5.0,6.0,Life & Health Insurance
A,China Airlines,3.5,2.7,5.6,Airlines
BBB,Chiba Bank,4.2,4.4,4.6,Banks
BBB,CITIC Securities,5.6,5.2,4.0,Investment Banking & Brokerage
B,Changan Auto,6.0,0.0,3.9,Automobiles
BBB,COMSYS Holdings Corporation (COMSYS),5.9,4.6,5.0,Construction & Engineering
B,Koa,2.3,3.6,4.1,"Electronic Equipment, Instruments & Components"
AAA,Computershare,10.0,7.8,5.2,Software & Services
BB,Starts,3.4,3.7,7.2,Real Estate Management & Services
BB,Dongkuk Steel,3.5,3.9,1.1,Steel
A,DB Insurance,4.9,5.1,5.2,Property & Casualty Insurance
AA,Delta Thailand,4.8,5.1,5.3,"Electronic Equipment, Instruments & Components"
BBB,MHCC,10.0,4.8,3.7,Diversified Financials
AA,Delta,7.3,4.8,5.8,"Electronic Equipment, Instruments & Components"
BBB,Asahi Intecc,6.7,5.7,6.1,Health Care Equipment & Supplies
CCC,DSME,4.4,2.9,2.9,Construction & Farm Machinery & Heavy Trucks
BBB,PT Matahari,2.9,5.4,4.5,Retail - Consumer Discretionary
AA,Emeco,2.5,7.5,7.7,Trading Companies & Distributors
BB,NYPCB,2.3,3.3,5.2,"Electronic Equipment, Instruments & Components"
A,UNITED ARROWS,2.5,5.3,5.4,Retail - Consumer Discretionary
BBB,Far Eastern New Century Corporation (FENC,2.8,3.4,6.5,Industrial Conglomerates
CCC,FAW Jiefang Group,4.8,1.8,2.5,Automobiles
AAA,Keppel,5.9,6.4,6.6,Industrial Conglomerates
B,Hanatour,5.3,3.0,3.3,Hotels & Travel
BBB,ENN-NG,8.2,4.3,6.5,Utilities
BB,Shanghai Bailian Group,2.0,4.4,4.7,Retail - Food & Staples
B,SHANGHAI DIESEL ENGINE,2.8,2.3,5.5,Construction & Farm Machinery & Heavy Trucks
B,Highwealth,3.3,4.3,2.5,Real Estate Development & Diversified Activities
CCC,Sanan Optoelectronics,5.1,3.5,2.7,Semiconductors & Semiconductor Equipment
BB,AVIC Industry-Finance Holdings,4.4,2.7,5.0,Diversified Financials
CCC,Ningbo Shanshan,2.9,3.1,0.0,Specialty Chemicals
BB,THDB,5.8,2.5,3.3,Pharmaceuticals
BB,PT Summarecon,3.2,3.4,3.2,Real Estate Development & Diversified Activities
BBB,Hyundai Elevator,5.5,4.7,3.9,Industrial Machinery
